"","GCM","variable","decade","layer","mean","median","min","max"
"363","HadGEM2","hurs","1","7","78.61","79.2","12.73","98.09"
"364","HadGEM2","hurs","1","8","78.64","79.18","11.99","98.24"
"365","HadGEM2","hurs","1","9","78.84","79.49","14.09","98.14"
"366","HadGEM2","hurs","1","10","78.67","79.23","12.6","98.37"
"367","HadGEM2","hurs","2","1","78.73","79.3","12.73","98.24"
"368","HadGEM2","hurs","2","2","78.86","79.43","10.92","98.23"
"369","HadGEM2","hurs","2","3","78.65","79.33","12.55","98.34"
"370","HadGEM2","hurs","2","4","78.64","79.36","12.98","97.96"
"371","HadGEM2","hurs","2","5","78.67","79.35","13.74","98.23"
"372","HadGEM2","hurs","2","6","78.58","79.17","11.9","98.29"
"373","HadGEM2","hurs","2","7","78.83","79.4","13.23","98.25"
"374","HadGEM2","hurs","2","8","78.7","79.61","8.38","98.59"
"375","HadGEM2","hurs","2","9","78.84","79.51","11.93","98.41"
"376","HadGEM2","hurs","2","10","78.72","79.45","12.3","98.32"
"377","HadGEM2","hurs","3","1","78.72","79.12","11.11","98.58"
"378","HadGEM2","hurs","3","2","78.74","79.29","9.15","98.7"
"379","HadGEM2","hurs","3","3","78.46","79.22","10.36","98.32"
"380","HadGEM2","hurs","3","4","78.69","79.37","10.13","98.57"
"381","HadGEM2","hurs","3","5","78.63","79.39","9.4","98.31"
"382","HadGEM2","hurs","3","6","78.67","79.46","9.49","98.39"
"383","HadGEM2","hurs","3","7","78.6","79.29","9.66","98.54"
"384","HadGEM2","hurs","3","8","78.59","79.24","6.79","98.36"
"385","HadGEM2","hurs","3","9","78.57","79.2","9.91","98.46"
"386","HadGEM2","hurs","3","10","78.86","79.54","11.01","98.27"
"387","HadGEM2","hurs","4","1","78.77","79.41","10.39","98.63"
"388","HadGEM2","hurs","4","2","78.55","79.17","7.86","97.97"
"389","HadGEM2","hurs","4","3","78.69","79.36","10","98.28"
"390","HadGEM2","hurs","4","4","78.79","79.52","10.66","98.25"
"391","HadGEM2","hurs","4","5","78.62","79.45","9.85","98.38"
"392","HadGEM2","hurs","4","6","78.41","79.22","9.65","98.26"
"393","HadGEM2","hurs","4","7","78.54","79.5","10.28","98.27"
"394","HadGEM2","hurs","4","8","78.51","79.33","10.41","98.39"
"395","HadGEM2","hurs","4","9","78.52","79.3","14.03","98.46"
"396","HadGEM2","hurs","4","10","78.47","79.26","11.15","98.52"
"397","HadGEM2","hurs","5","1","78.51","79.3","11.4","98.49"
"398","HadGEM2","hurs","5","2","78.77","79.38","12.26","98.42"
